,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
98,Chris Bassitt,OAK,31,"Toledo, OH",USA,,,Akron,,,605135,1.8599999999999999
112,Andrew Benintendi,BOS,25,"Cincinnati, OH",USA,,,Arkansas,,,643217,1.83
601,Dakota Hudson,STL,25,"Chattanooga, TN",USA,,,Mississippi State,,,641712,1.82
413,Todd Frazier,TEX,34,"Point Pleasant, NJ",USA,,,Rutgers,,,453943,1.81
966,David Price,LAD,34,"Murfreesboro, TN",USA,,,Vanderbilt,,,456034,1.81
751,Evan Marshall,CWS,29,"Sunnyvale, CA",USA,,,Kansas State,,,605359,1.81
669,Brandon Kintzler,MIA,35,"Las Vegas, NV",USA,,,"Dixie State, UT",,,445213,1.77
45,Chase Anderson,TOR,32,"Wichita Falls, TX",USA,,,Oklahoma,,,502624,1.72
276,C.J. Cron,DET,30,"Fullerton, CA",USA,,,Utah,,,543068,1.72
156,Ryan Braun,MIL,36,"Mission Hills, CA",USA,,,Miami (FL),,,460075,1.7
1138,Caleb Smith,MIA,28,"Huntsville, TX",USA,,,Sam Houston State,,,592761,1.6900000000000002
1219,Chris Taylor,LAD,29,"Virginia Beach, VA",USA,,,Virginia,,,621035,1.66
595,Rhys Hoskins,PHI,27,"Sacramento, CA",USA,,,Sacramento State,,,656555,1.64
260,Garrett Cooper,MIA,29,"Torrance, CA",USA,,,Auburn,,,643265,1.64
918,Hunter Pence,SF,37,"Fort Worth, TX",USA,,,Texas-Arlington,,,452254,1.6
1310,Luke Weaver,ARI,26,"DeLand, FL",USA,,,Florida State,,,596133,1.5999999999999999
140,David Bote,CHC,27,"Longmont, CO",USA,,,Neosho CC,,,623520,1.59
808,Wade Miley,CIN,33,"Hammond, LA",USA,,,Southeastern Louisiana,,,489119,1.57
1167,Jacob Stallings,PIT,30,"Lawrence, KS",USA,,,North Carolina,,,607732,1.57
