,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
431,Miro Heiskanen,Espoo,Finland,,,,,
432,Connor Hellebuyck,"Commerce, MI",USA,,,,,
433,Darren Helm,"St. Andrews, MB",Canada,,,,,
434,Matt Hendricks,"Blaine, MN",USA,,,,,
435,Matt Hendricks,"Blaine, MN",USA,,,,,
436,Adam Henrique,"Brantford, ON",Canada,,,,,
437,Tomas Hertl,Praha,Czech Republic,,,,,
438,Joe Hicketts,"Kamloops, BC",Canada,,,,,
439,Thomas Hickey,"Calgary, AB",Canada,,,,,
440,Adin Hill,"Comox, BC",Canada,,,,,
441,Vinnie Hinostroza,"Chicago, IL",USA,,,,,
442,Roope Hintz,Tampere,Finland,,,,,
443,Taro Hirose,"Calgary, AB",Canada,,,,,
444,Nico Hischier,Brig,Switzerland,,,,,
445,Niklas Hjalmarsson,Eksjo,Sweden,,,,,
446,Mike Hoffman,"Kitchener, ON",Canada,,,,,
447,Marcus Hogberg,Orebro,Sweden,,,,,
448,Nick Holden,"St. Albert, AB",Canada,,,,,
449,Justin Holl,"Tonka Bay, MN",USA,,,,,
450,Braden Holtby,"Lloydminster, SK",Canada,,,,,
451,Korbinian Holzer,Munich,Germany,,,,,
452,Julius Honka,Jyväskylä,Finland,,,,,
453,Patric Hornqvist,Sollentuna,Sweden,,,,,
454,Bo Horvat,"London, ON",Canada,,,,,
455,Joshua Ho-Sang,"Toronto, ON",Canada,,,,,
456,Jimmy Howard,"Syracuse, NY",USA,,,,,
457,Brett Howden,"Calgary, AB",Canada,,,,,
458,Filip Hronek,Hradec Králové,Czech Republic,,,,,
459,Jonathan Huberdeau,"Saint-Jerome, QC",Canada,,,,,
460,Charles Hudon,"Alma, QC",Canada,,,,,
461,Quinn Hughes,"Orlando, FL",USA,,,,,
462,Brad Hunt,"Maple Ridge, BC",Canada,,,,,
463,Brad Hunt,"Maple Ridge, BC",Canada,,,,,
464,Dryden Hunt,"Cranbrook, BC",Canada,,,,,
465,Matt Hunwick,"Warren, MI",USA,,,,,
466,Michael Hutchinson,"Barrie, ON",Canada,,,,,
467,Michael Hutchinson,"Barrie, ON",Canada,,,,,
468,Ben Hutton,"Brockville, ON",Canada,,,,,
469,Carter Hutton,"Thunder Bay, ON",Canada,,,,,
470,Tomas Hyka,Mlada Boleslav,Czech Republic,,,,,
471,Zach Hyman,"Toronto, ON",Canada,,,,,
